replicas,clients,payload,ports,latency(us),throughput client(Mop/sec), throughput server(Mop/sec), network(Gbps)
1,50,512,3,20.0978,2.48808,2.08206,9.52751
1,100,0,3,20.3003,4.92654,4.77993,2.29437
1,100,190,3,21.4053,4.67213,4.45784,8.91568
1,100,512,3,25.1559,3.97529,3.82266,17.4925
1,150,0,3,20.6718,7.25789,6.62696,3.18094
1,150,190,3,22.7563,6.59366,6.02726,12.0545
1,150,512,3,28.7104,5.22494,4.84835,22.186
1,180,0,3,22.3032,8.07216,7.6551,3.67445
1,180,190,3,24.3806,7.3839,7.02312,14.0462
1,180,512,3,33.6716,5.34591,5.12109,23.4341
1,200,0,3,23.4552,8.52724,8.20424,3.93803
1,200,190,3,25.5485,7.831,7.55825,15.1165
1,200,512,3,37.4925,5.33452,5.14628,23.5494
1,250,0,3,26.4423,9.45518,8.9871,4.31381
1,250,190,3,28.0371,8.91803,8.3919,16.7838
1,250,512,3,45.802,5.45839,5.17478,23.6798
1,300,0,3,31.5503,9.50982,9.42098,4.52207
1,300,190,3,32.161,9.33122,9.00808,18.0162
1,300,512,3,56.2947,5.32934,5.1856,23.7293
1,350,0,3,34.635,10.1064,9.49133,4.55584
1,350,190,3,34.9987,10.0024,9.35168,18.7034
1,350,512,3,64.5501,5.42243,5.19301,23.7632
1,400,0,3,41.4643,9.64779,9.52058,4.56988
1,400,190,3,41.0851,9.73619,9.61262,19.2252
1,400,512,3,74.554,5.36552,5.19705,23.7817
2,1,0,3,125.448,0.00797976,0,0
2,1,190,3,127.63,0.00784307,0,0
2,1,512,3,24.5303,0.0407685,0,0
2,20,0,3,23.0041,0.869414,0.778955,0.747797
2,20,190,3,24.6836,0.810258,0.717662,2.87065
2,20,512,3,27.6614,0.723033,0.627043,5.7387
2,50,0,3,26.8344,1.86343,1.75932,1.68895
2,50,190,3,28.3468,1.76387,1.65337,6.61348
2,50,512,3,32.9092,1.52001,1.43979,13.1769
2,100,0,3,29.4979,3.39026,3.28965,3.15806
2,100,190,3,33.7413,2.96402,2.84466,11.3787
2,100,512,3,41.7607,2.39462,2.3287,21.3122
2,150,0,3,32.9382,4.55413,4.40821,4.23188
2,150,190,3,38.2253,3.92417,3.82202,15.2881
2,150,512,3,54.2064,2.77186,2.79879,25.6145
2,180,0,3,33.862,5.31579,5.19285,4.98514
2,180,190,3,39.5168,4.55507,4.4123,17.6492
2,180,512,3,66.972,2.68927,2.97182,27.1981
2,200,0,3,36.9894,5.40742,5.28638,5.07493
2,200,190,3,40.7666,4.90618,4.82137,19.2855
2,200,512,3,72.5249,2.75869,2.89371,26.4832
2,250,0,3,39.641,6.30825,6.15305,5.90693
2,250,190,3,50.1808,4.98203,4.91457,19.6583
2,250,512,3,91.8987,2.72058,2.89125,26.4607
2,300,0,3,41.2258,7.28677,7.18404,6.89668
2,300,190,3,49.1949,6.1046,6.00701,24.028
2,300,512,3,114.905,2.61199,2.82924,25.8932
2,350,0,3,46.3331,7.57864,7.5948,7.291
2,350,190,3,58.0016,6.03869,6.17074,24.683
2,350,512,3,134.436,2.60448,2.84724,26.0579
2,400,0,3,49.1941,8.13133,7.99713,7.67724
2,400,190,3,61.1509,6.54148,6.35352,25.4141
2,400,512,3,111.034,3.60253,3.25219,29.764
3,1,0,3,248.518,0.00402481,0,0
3,1,190,3,206.668,0.00484084,0,0
3,1,512,3,209.365,0.00478678,0,0
3,20,0,3,23.7621,0.841687,0.667077,0.960591
3,20,190,3,26.3735,0.758362,0.593584,3.5615
3,20,512,3,29.2587,0.683603,0.535783,7.35523
3,50,0,3,26.1247,1.91391,1.63921,2.36046
3,50,190,3,28.3378,1.76452,1.49834,8.99004
3,50,512,3,32.7295,1.52769,1.27819,17.547
3,100,0,3,29.9024,3.34423,3.14809,4.53325
3,100,190,3,32.7293,3.05561,2.85312,17.1187
3,100,512,3,250.187,1.91062,1.05351,14.4626
3,150,0,3,63.1321,4.54956,4.28037,6.16374
3,150,190,3,36.5302,4.10623,3.82544,22.9527
3,150,512,3,66.3289,2.26151,1.90407,26.1391
3,180,0,3,35.5636,5.0626,4.93869,7.11172
